Final_taxon	Label	Total_ASVs	LNHKK59_12S_OBS1	LNHKK61_12S_OBS1	LNHKK62_12S_OBS1	LNHKK63_12S_OBS1	LNHKK64_12S_OBS1	LNHKK65_12S_OBS1	LNHKK66_12S_OBS1	LNHKK67_12S_OBS1	LNHKK69_12S_OBS1	LNHKK70_12S_OBS1	LNHKK71_12S_OBS1	LNHKK73_12S_OBS1	LNKB147_12S_OBS1	LNKB148_12S_OBS1	LNKB149_12S_OBS1	LNKWC17_12S_OBS1	LNKWC18_12S_OBS1	LNKWC19_12S_OBS1	LNKWC20_12S_OBS1	LNKWC21_12S_OBS1	LNKWC22_12S_OBS1	LNKWC23_12S_OBS1	LNKWC24_12S_OBS1	LNMAW11_12S_OBS1	LNMAW13_12S_OBS1	LNMAW14_12S_OBS1	LNMAW15_12S_OBS1	LNMAW16_12S_OBS1	LNMAW17_12S_OBS1	LNMAW18_12S_OBS1	LNMAW19_12S_OBS1	LNNKS15_12S_OBS1	LNNKS16_12S_OBS1	LNNKS17_12S_OBS1	LNSK15_12S_OBS1	LNSK16_12S_OBS1	LNSK17_12S_OBS1	LNSK20_12S	LNSK24_12S	LNSK28_12S_OBS1	LNSK46_12S	LNSK46_12S_OBS1	LNSK47_12S	LNSTU34_12S_OBS1	LNSTU37_12S_OBS1	LNSTU40_12S_OBS1	LNSTU41_12S_OBS1	LNSTU47_12S_OBS1	LNTYE25_12S_OBS1	LNTYE26_12S_OBS1	LNTYE27_12S_OBS1	LNTYE29_12S_OBS1	LNTYE30_12S_OBS1	LNTYE31_12S_OBS1	LNTYE33_12S_OBS1	LNTYE34_12S_OBS1	LNTYE35_12S_OBS1	LNTYE36_12S_OBS1	LNTYE38_12S_OBS1	LNTYE40_12S_OBS1	LNTYE41_12S_OBS1	LNTYE43_12S_OBS1	LNTYE45_12S_OBS1	LNTYE47_12S_OBS1	LNTYE48_12S_OBS1	LNTYE49_12S_OBS1	Total_read
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Aonyx;s__cinereus	Host - AC	54	0	0	0	0	0	0	0	0	0	0	0	0	1771	28131	253	0	0	0	0	0	0	0	0	0	0	1147	1114	5007	6902	687	16687	97068	54141	111975	1556	1478	652	39296	57578	1451	54989	40545	50945	167790	212	29077	87	120	0	0	0	0	0	0	0	0	290	54430	204	169	82891	232	128	268	230	159	909660
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutra;s__lutra	Host - LL	16	2136	2522	21383	14746	329	2627	14927	3447	5437	5164	2986	10206	0	0	24	83	116	83	31	29	163	132	31002	1706	56	14	0	0	13	0	16	13	0	28	0	0	601	0	0	0	1433	17	0	0	0	0	0	0	10304	454	24617	41518	38360	21911	2348	21677	24742	810	3918	15876	2734	12986	42694	34521	48326	23046	492312
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutrogale;s__perspicillata	Host - LP	8	0	0	0	0	0	0	0	0	0	0	0	0	688	134	44865	11547	14308	9763	69	53	5557	16942	263	89	6449	11344	13310	105	64	15	60	233	412	341	84936	10010	49	36	48	5084	0	337	0	499	22126	169	65	95	0	11199	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	271278
No Hit	No Hit	155	181	20	754	785	10	38	72	111	1225	12	448	1378	3262	183	73485	12	10	67	1350	51	1	4	187	365	1097	0	2	24	58	23	40	276	133	272	396	594	310	15	5	127549	1065	392	3	273	76303	333	424	2155	113	19	517	2675	761	322	216	637	301	22	197	37	59	49	3190	245	1019	1934	308066
p__Chordata;c__Mammalia;o__Primates	Artifact  - Primates	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	79
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae	Artifact  - Primates	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	107
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca	Artifact  - Primates	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	11	14	12	11	0	2502	10	5	2614
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca;s__assamensis	Artifact  - Primates	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	91
p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Artifact  - Primates	6	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	295	3	0	0	0	0	0	0	0	0	0	0	25	195	0	0	0	24	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	718
p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__sapiens	Artifact  - Primates	11	38	103	51	15	16732	34	13	22	27	25	28	241	965	23	56	43	31	30	15278	11	35	33	509	1020	19	64	232	96	24	33	35364	19741	41	726	201	1296	313	18	1917	45	16	13143	13	7047	127	23	24	9262	16	80	29	51	6	19	213	7212	752	6	137	5621	11	0	0	230	20	0	139551
p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae	Artifact - Artiodactyla	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos	Artifact - Artiodactyla	1	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44
p__Chordata;c__Mammalia;o__Artiodactyla;f__Bovidae;g__Bos;s__taurus	Artifact - Artiodactyla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	8	27	0	0	0	0	0	0	0	0	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	356
p__Chordata;c__Mammalia;o__Artiodactyla;f__Cervidae	Artifact - Artiodactyla	1	0	2	9	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	9	5	16	55
p__Chordata;c__Mammalia;o__Artiodactyla;f__Cervidae;g__Rusa;s__unicolor	Artifact - Artiodactyla	1	0	11	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae	Artifact - Artiodactyla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__scrofa	Artifact - Artiodactyla	3	20	20	49	43	32	22	29	63	2777	34	0	12	23	8	21	4	0	0	0	0	38	0	0	0	0	32	47	66	43	32	68	3	0	0	4	3	2660	320	18	2	12	9	4904	4590	5	5	8	0	0	114	50	0	0	0	0	6	765	0	3	4	0	2	0	0	0	0	16970
p__Chordata;c__Mammalia;o__Chiroptera;f__Molossidae;g__Mops;s__plicatus	Artifact - Chiroptera	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Mammalia;o__Rodentia;f__Muridae;g__Rattus	Artifact - Rodent	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	4601	10	8	4	3	9	9	4653
p__Chordata;c__Mammalia;o__Rodentia;f__Sciuridae	Artifact - Rodent	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	19
p__Chordata;c__Mammalia;o__Rodentia;f__Sciuridae;g__Callosciurus;s__caniceps	Artifact - Rodent	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	19
p__Chordata;c__Mammalia;o__Scandentia;f__Tupaiidae;g__Tupaia	Artifact - Rodent	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	147
p__Chordata;c__Mammalia;o__Carnivora	Artifact (Carnivora)	11	0	0	0	0	0	0	0	0	23	0	0	12	837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	0	0	0	0	0	6	0	0	0	0	10	17	0	377	1188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	2700
p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Canis	Artifact (Carnivora) - Canis sp.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122
p__Chordata;c__Mammalia;o__Carnivora;f__Canidae;g__Cuon;s__alpinus	Artifact (Carnivora) - Cuon alpinus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	24
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutra	Artifact (Carnivora) - Lutra sp.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Martes	Artifact (Carnivora) - Martes sp.	2	10	5	114	0	0	0	19	6	92	0	44	64	0	0	57	30	38	24	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	9	14	0	0	0	13	0	0	0	0	0	0	0	0	29	9	76	145	78	70	0	0	27	0	11	5	0	0	106	32	108	87	1329
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae	Artifact (Carnivora) - Mustelidae	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	209
p__Chordata;c__Mammalia;o__Carnivora;f__Viverridae;g__Paguma;s__larvata	Artifact (Carnivora) - Paguma larvata	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40
p__Chordata;c__Mammalia;o__Carnivora;f__Felidae;g__Panthera;s__leo	Artifact (Carnivora) - Panthera leo	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17
p__Chordata;c__Mammalia;o__Carnivora;f__Viverridae;g__Paradoxurus	Artifact (Carnivora) - Paradoxurus sp.	23	0	0	0	0	0	0	0	0	0	0	0	0	2538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	445	1829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4817
