Final_taxon	Label	Total_ASVs	LNHKK01 (LP)	LNHKK02 (LP)	LNHKK32 (LP)	LNHKK33 (LP)	LNHKK34 (LP)	LNHKK35 (LP)	LNHKK36 (LP)	LNHKK39 (LP)	LNHKK42 (LP)	LNHKK43 (LP)	LNHKK44 (LL)	LNHKK45 (LP)	LNHKK46 (LL)	LNHKK47 (LP)	LNHKK48 (LL)	LNHKK49 (LL)	LNHKK51 (LP)	LNHKK52 (LL)	LNHKK54 (LL)	LNKB139 (LP)	LNKB140 (LP)	LNKB142 (AC)	LNKB143 (AC)	LNKB144 (LP)	LNKB145 (AC)	LNKB146 (LP)	LNKB147 (LP)	LNKB148 (AC)	LNKB149 (LP)	LNKB150 (LP)	LNKB151 (LP)	LNKBMG036 (AC)	LNKBMG048 (AC)	LNKBMG049 (AC)	LNKBMG050 (AC)	LNKBMG091 (AC)	LNKBMG133 (AC)	LNKLA01 (LP)	LNKWC03 (LP)	LNKWC05 (LP)	LNKWC11 (AC)	LNKWC16 (AC)	LNMAW01 (LP)	LNMAW02 (LP)	LNMAW08 (LP)	LNMAW09 (LP)	LNMAW10 (LP)	LNMAW12 (LP)	LNNKS14 (AC)	LNNKS15 (AC)	LNNKS16 (AC)	LNNKS17 (AC)	LNPTL07 (AC)	LNPTL08 (LP)	LNPTL09 (AC)	LNPTL10 (LP)	LNPTL11 (LP)	LNPTL12 (LP)	LNPTL13 (LP)	LNPTL14 (LP)	LNPTL15 (LP)	LNPTL17 (LP)	LNPTL18 (LP)	LNPTL19 (LP)	LNPTL20 (AC)	LNPTL21 (AC)	LNPTL22 (AC)	LNPTL24 (LP)	LNSK18 (AC)	LNSK19 (AC)	LNSK20 (AC)	LNSK21 (LP)	LNSK22 (LP)	LNSK23 (LP)	LNSK24 (AC)	LNSK25 (LP)	LNSK26 (LP)	LNSK29 (AC)	LNSK30 (AC)	LNSK31 (LP)	LNSK32 (LP)	LNSK33 (LP)	LNSK34 (LP)	LNSK35 (AC)	LNSK37 (LP)	LNSK38 (AC)	LNSK40 (AC)	LNSK41 (AC)	LNSK42 (AC)	LNSK43 (LP)	LNSK44 (LP)	LNSK45 (LP)	LNSK46 (AC)	LNSK47 (AC)	LNSK48 (AC)	LNSTU34 (AC)	LNSTU35 (LP)	LNSTU36 (AC)	LNSTU37 (LP)	LNSTU38 (LP)	LNSTU39 (AC)	LNSTU40 (AC)	LNSTU41 (LP)	LNSTU42 (LP)	LNSTU43 (LP)	LNSTU44 (LP)	LNSTU45 (LP)	LNSTU46 (AC)	LNSTU47 (AC)	LNSTU48 (AC)	LNSTU49 (LP)	LNTR100 (LP)	LNTR101 (LP)	LNTR102 (LP)	LNTR85 (LP)	LNTR86 (LP)	LNTR87 (LP)	LNTR88 (AC)	LNTR89 (LP)	LNTR90 (AC)	LNTR91 (LP)	LNTR92 (AC)	LNTR93 (AC)	LNTR94 (LP)	LNTR95 (LP)	LNTR96 (LP)	LNTR97 (LP)	LNTR98 (LP)	LNTR99 (LP)	LNTYE17 (LP)	LNTYE21 (LL)	LNTYE22 (LL)	LNTYE23 (LL)	LNTYE24 (LL)	LNUMP02 (LP)	Total_read
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Aonyx;s__cinereus	Host - AC	217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	596	0	0	147	788	15016	23300	168	97550	122	3932	13194	132	866	2992	126825	5749	53399	89810	23961	93586	27	11	16	131799	1231	0	0	0	0	0	0	66556	79094	64642	136253	47885	878	42224	693	481	425	191	516	245	166	958	74	43342	13016	12617	13274	4508	93613	38442	329	213	312	22036	159	4775	3240	883	390	269	481	256	133606	92414	182	17157	39834	37371	343	2596	242	21420	16655	4	94816	547	373	34647	501	43979	10632	1763	367	126078	256	426	198	63185	5263	276	58	19	38	242	664	125	36620	108	29960	71838	711	24523	91	93	140	70	67	41	24	0	0	0	0	18	2289234
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutra;s__lutra	Host - LL	63	0	0	0	0	0	0	0	29	0	0	61634	0	61910	0	36414	127837	0	60843	56159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	3	0	0	0	0	0	439	328766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39445	127659	85433	35794	0	1023088
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae;g__Lutrogale;s__perspicillata	Host - LP	80	812	63770	11692	1056	1537	10010	37926	159104	148232	10191	0	11530	0	10917	0	0	8644	0	0	817	5632	178	114	8732	251	3556	343	57	39101	2471	1780	254	82	140	100	60	135	1358	4438	1672	7	0	18283	889	477	4665	2054	89528	328	964	303	362	546	8169	290	2716	7119	13081	41365	2332	335	10164	1589	1161	188	70	74	1386	226	609	525	7611	95292	3321	206	2799	22	16	36	2783	3064	2455	5092	23	2198	211	555	678	750	28634	2925	77034	201	475	16	79	21092	2150	765	2259	225	80	119	1649	272	15212	2412	43	515	69	1399	13679	4100	4991	2265	4388	2705	2092	1512	132	146	1315	269	20183	3531	3785	6237	2824	4089	7749	0	0	0	0	457	1127683
No Hit	No Hit	2457	42	576	11	18	22	10622	6	12	34	2839	43	27041	67	1045	251	40	12392	55	19	38343	3648	352	2923	144641	354	20478	318	153	76680	113189	155309	893	16550	17435	21382	3036	2494	33	1189	27	11029	733	47	70	63	11	72	49	95	82065	110	55	233	569	25974	4151	742	2109	251	1026	202	234	257	13524	86	584	452	7514	180	13916	36	357	392	575	2084	207	10620	472	11	471	50	15	79	581	2625	87	94	47	46	1825	405	1244	189	791	11	226	31908	195568	49723	169773	885	212	781	22722	2486	26979	20533	541	10604	942	107021	64819	4564	10028	67910	59912	439	31289	60728	211	84565	80431	123117	17409	945	6083	8930	944	60347	7724	11	261	2548	1237	1330	2200965
p__Chordata;c__Mammalia;o__Primates	Artifact  - Primates	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	7	7	2	5289	6	2	6	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	13	28	25061	9	24	22	12	0	0	0	0	128	0	9	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30918
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae	Artifact  - Primates	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	9	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	648
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca	Artifact  - Primates	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	382	2	14	750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1178
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca;s__fascicularis	Artifact  - Primates	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1022	28	7	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	19	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1617
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Macaca;s__mulatta	Artifact  - Primates	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	26	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	706
p__Chordata;c__Mammalia;o__Primates;f__Cercopithecidae;g__Papio	Artifact  - Primates	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24
