Final_taxon	Label	Total_ASVs	LNHKK53 (AC)	LNHKK55 (AC)	LNHKK56 (AC)	LNKWC07 (AC)	LNKWC08 (AC)	LNKWC09 (AC)	LNKWC13 (AC)	LNKWC15 (AC)	LNKWC16 (AC)	LNMAW17 (AC)	Total_read
No Hit	No Hit	2989	59425	8228	82699	133077	146073	49814	108064	36559	20888	3022	647849
p__Chordata;c__Mammalia;o__Carnivora;f__Mustelidae	Artifact (Carnivora) - Mustelidae	1	0	0	0	0	0	0	3	0	0	0	3
p__Chordata;c__Amphibia;o__Anura;f__Megophryidae	Prey - Amphibian	1	0	0	13	0	0	0	0	0	0	0	13
p__Chordata;c__Amphibia;o__Anura;f__Megophryidae;g__Leptobrachium	Prey - Amphibian	2	17	0	254	0	0	0	0	0	0	0	271
p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae	Prey - Annelid	2	0	0	0	2	0	3	0	0	0	0	5
p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae;g__Enchytraeus	Prey - Annelid	7	29	0	0	4805	5	0	0	5	0	0	4844
p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Pristina	Prey - Annelid	1	0	44	0	0	0	0	0	0	0	0	44
p__Arthropoda;c__Arachnida;o__Acariformes;f__Acariformes	Prey - Arachnid	6	3	0	0	136	19	0	7	4	0	0	169
p__Arthropoda;c__Arachnida;o__Arachnida;f__Arachnida	Prey - Arachnid	21	83	0	4	637	263	14	1361	8	0	2	2372
p__Arthropoda;c__Arachnida;o__Arachnida;f__Arachnida;g__Arachnida	Prey - Arachnid	5	18	0	8	26	7	0	308	0	0	0	367
p__Arthropoda;c__Arachnida;o__Araneae	Prey - Arachnid	2	0	0	0	0	26	15	32	0	0	0	73
p__Arthropoda;c__Arachnida;o__Araneae;f__Anamidae	Prey - Arachnid	5	0	0	0	0	80	0	0	19	0	0	99
p__Arthropoda;c__Arachnida;o__Araneae;f__Araneae;g__Araneae	Prey - Arachnid	7	316	2	2449	0	0	0	0	52	17	0	2836
p__Arthropoda;c__Arachnida;o__Araneae;f__Dictynidae	Prey - Arachnid	3	136	0	0	20	0	0	0	0	0	0	156
p__Arthropoda;c__Arachnida;o__Araneae;f__Salticidae	Prey - Arachnid	3	0	0	0	0	45	0	11	3	0	0	59
p__Arthropoda;c__Arachnida;o__Araneae;f__Salticidae;g__Myrmarachne	Prey - Arachnid	7	15	0	5	5	249	13	7	0	27	5	326
p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Ascidae;g__Ascidae	Prey - Arachnid	1	0	0	0	5	0	0	0	0	0	0	5
p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Phytoseiidae;g__Amblyseius;s__adhatodae	Prey - Arachnid	1	0	0	0	4	0	0	0	0	0	0	4
p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Phytoseiidae;g__Euseius	Prey - Arachnid	1	0	0	0	0	13	0	0	0	0	0	13
p__Arthropoda;c__Arachnida;o__Sarcoptiformes	Prey - Arachnid	1	0	0	0	0	0	0	0	26	0	0	26
