Final_taxon	Label	Total_ASVs	LNHKK35-LP	LNHKK35-LP-COI.LN.Blk1	LNHKK35-LP-COI.LN.Blk2	LNHKK42-LP	LNHKK42-LP-COI.LN.Blk1	LNHKK42-LP-COI.LN.Blk2	LNHKK43-LP-COI.LN.Blk1	LNHKK43-LP-COI.LN.Blk2	LNHKK45-LP	LNHKK45-LP-COI.LN.Blk1	LNHKK45-LP-COI.LN.Blk2	LNHKK47-LP	LNHKK47-LP-COI.LN.Blk2	LNHKK51-LP	LNHKK51-LP-COI.LN.Blk1	LNHKK51-LP-COI.LN.Blk2	LNHKK53-AC-COI.LN.Blk1	LNKWC07-AC	LNKWC07-AC-COI.LN.Blk1	LNKWC07-AC-COI.LN.Blk2	LNKWC08-AC	LNKWC08-AC-COI.LN.Blk1	LNKWC08-AC-COI.LN.Blk2	LNKWC09-AC-COI.LN.Blk1	LNKWC10-AC	LNKWC10-AC-COI.LN.Blk1	LNKWC10-AC-COI.LN.Blk2	LNKWC12-AC	LNKWC12-AC-COI.LN.Blk1	LNKWC12-AC-COI.LN.Blk2	LNKWC13-AC	LNKWC13-AC-COI.LN.Blk1	LNKWC13-AC-COI.LN.Blk2	LNKWC15-AC	LNKWC15-AC-COI.LN.Blk1	LNKWC15-AC-COI.LN.Blk2	LNKWC16-AC	LNKWC16-AC-COI.LN.Blk1	LNKWC16-AC-COI.LN.Blk2	LNKWC17-LP	LNKWC17-LP-COI.LN.Blk1	LNKWC17-LP-COI.LN.Blk2	LNKWC18-LP	LNKWC18-LP-COI.LN.Blk1	LNKWC18-LP-COI.LN.Blk2	LNKWC19-LP	LNKWC19-LP-COI.LN.Blk1	LNKWC19-LP-COI.LN.Blk2	LNKWC20-LP-COI.LN.Blk1	LNKWC21-NA-COI.LN.Blk1	LNKWC22-LP	LNKWC22-LP-COI.LN.Blk2	LNMAW16-AC	LNMAW16-AC-COI.LN.Blk2	LNMAW17-AC-COI.LN.Blk1	LNMAW17-AC-COI.LN.Blk2	LNTYE10-LL	LNTYE10-LL-COI.LN.Blk1	LNTYE10-LL-COI.LN.Blk2	LNTYE11-LL	LNTYE11-LL-COI.LN.Blk1	LNTYE11-LL-COI.LN.Blk2	LNTYE12-LL	LNTYE12-LL-COI.LN.Blk1	LNTYE12-LL-COI.LN.Blk2	LNTYE13-LL	LNTYE13-LL-COI.LN.Blk1	LNTYE13-LL-COI.LN.Blk2	LNTYE14-LL	LNTYE14-LL-COI.LN.Blk1	LNTYE14-LL-COI.LN.Blk2	LNTYE15-LL	LNTYE15-LL-COI.LN.Blk1	LNTYE15-LL-COI.LN.Blk2	LNTYE16-LL	LNTYE16-LL-COI.LN.Blk1	LNTYE16-LL-COI.LN.Blk2	LNTYE17-LP	LNTYE17-LP-COI.LN.Blk1	LNTYE17-LP-COI.LN.Blk2	LNTYE18-LL	LNTYE18-LL-COI.LN.Blk1	LNTYE18-LL-COI.LN.Blk2	LNTYE19-LL	LNTYE19-LL-COI.LN.Blk1	LNTYE19-LL-COI.LN.Blk2	LNTYE20-LL	LNTYE20-LL-COI.LN.Blk1	LNTYE20-LL-COI.LN.Blk2	LNTYE21-LL	LNTYE21-LL-COI.LN.Blk1	LNTYE21-LL-COI.LN.Blk2	LNTYE22-LL-COI.LN.Blk2	LNTYE23-LL	LNTYE23-LL-COI.LN.Blk1	LNTYE23-LL-COI.LN.Blk2	LNTYE24-LL	LNTYE24-LL-COI.LN.Blk1	LNTYE24-LL-COI.LN.Blk2	LNTYE26-LP	LNTYE26-LP-COI.LN.Blk1	LNTYE26-LP-COI.LN.Blk2	Total_read
No Hit	No Hit	54354	110935	822663	504835	889	26115	20197	33955	10736	5643	396480	84474	8330	173496	64527	73025	123384	71773	239987	95210	130934	335655	218565	240419	131877	119247	198068	168846	231544	151604	48918	472622	539390	249427	170954	301647	144080	185736	335029	154747	26860	70761	110704	48431	314206	153529	138111	405730	215201	107428	152346	32946	103427	75597	39639	42234	77461	249468	274035	166917	8306	4305	5472	67193	266183	178487	42907	70539	69506	128135	162761	83335	218574	92745	77565	69115	157253	52111	181207	208119	137197	60344	84090	127727	44579	189250	52723	123150	113152	108306	149673	145207	124487	21481	92145	105903	122557	125165	141413	143931	85712	273604	320814	15237422
p__Annelida;c__Clitellata;o__Crassiclitellata;f__Aeolosomatidae	Prey - Annelid	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	41
p__Annelida;c__Clitellata;o__Crassiclitellata;f__Aeolosomatidae;g__Aeolosomatidae	Prey - Annelid	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae	Prey - Annelid	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
p__Annelida;c__Clitellata;o__Enchytraeida;f__Enchytraeidae;g__Enchytraeus	Prey - Annelid	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2546	0	441	0	0	0	0	0	1595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	7	5	0	8	0	0	0	8	0	5	36	9	0	4671
p__Annelida;c__Clitellata;o__Tubificida;f__Naididae	Prey - Annelid	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
p__Annelida;c__Clitellata;o__Tubificida;f__Naididae;g__Chaetogaster	Prey - Annelid	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	141	44	0	0	0	0	0	0	0	0	0	0	343
p__Arthropoda;c__Arachnida;o__Araneae	Prey - Arachnid	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	18	0	2	23	7	0	0	2	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	418	146	96	998	921	1530	0	2	0	108	20	47	46	85	40	0	0	0	55	0	4	0	0	0	0	60	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4638
p__Arthropoda;c__Arachnida;o__Araneae;f__Anamidae	Prey - Arachnid	105	4205	30970	18907	9	64	36	22	3	0	343	16	0	13	4	0	28	0	650	0	248	123	275	82	10	0	403	15	598	37	109	5	11	0	37	38	47	3	5	0	11	133	165	10	216	126	25	4	29	39	94	0	0	172	0	28	7	1546	1588	902	0	0	0	31	6	94	4	0	2	2	0	0	28	49	147	2	2	21	0	194	0	0	26	0	17	5	0	1	26	57	163	62	64	31	0	12	11	418	232	265	172	324	438	65317
p__Arthropoda;c__Arachnida;o__Araneae;f__Anamidae;g__Aname	Prey - Arachnid	1	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
