Final_taxon	Label	Total_ASVs	PVKR001	PVKR001-16S.PV.Blk1	PVKR001-16S.PV.Blk3	PVKR002	PVKR002-16S.PV.Blk1	PVKR003	PVKR003-16S.PV.Blk1	PVKR003-16S.PV.Blk3	PVKR004	PVKR004-16S.PV.Blk1	PVKR004-16S.PV.Blk3	PVKR005	PVKR005-16S.PV.Blk1	PVKR005-16S.PV.Blk3	PVKR006	PVKR006-16S.PV.Blk1	PVKR006-16S.PV.Blk3	PVKR007	PVKR007-16S.PV.Blk1	PVKR007-16S.PV.Blk3	PVKR008	PVKR008-16S.PV.Blk1	PVKR008-16S.PV.Blk3	PVKR009	PVKR009-16S.PV.Blk1	PVKR010	PVKR010-16S.PV.Blk1	PVKR010-16S.PV.Blk3	PVKR011	PVKR011-16S.PV.Blk1	PVKR011-16S.PV.Blk3	PVKR012	PVKR012-16S.PV.Blk1	PVKR012-16S.PV.Blk3	PVKR013	PVKR013-16S.PV.Blk1	PVKR013-16S.PV.Blk3	PVKR014	PVKR014-16S.PV.Blk1	PVKR014-16S.PV.Blk3	PVKR021	PVKR021-16S.PV.Blk1	PVKR021-16S.PV.Blk3	PVKR022	PVKR022-16S.PV.Blk3	PVKR023	PVKR023-16S.PV.Blk1	PVKR023-16S.PV.Blk3	PVKR024	PVKR024-16S.PV.Blk1	PVKR024-16S.PV.Blk3	PVKR025	PVKR025-16S.PV.Blk1	PVKR025-16S.PV.Blk3	PVKR026	PVKR026-16S.PV.Blk1	PVKR026-16S.PV.Blk3	PVKR027	PVKR027-16S.PV.Blk1	PVKR027-16S.PV.Blk3	PVKR028	PVKR028-16S.PV.Blk1	PVKR028-16S.PV.Blk3	PVKR029	PVKR029-16S.PV.Blk3	Total_read
p__Chordata;c__Mammalia;o__Carnivora;f__Felidae;g__Prionailurus	Host - Prionailurus sp.	43	26120	1568	639	78712	7425	635	130	100	421	80	324	345	55	55	1415	123	122	2891	5898	4687	695	260	121	19	376	107	137	10	108	12	71	258	107	405	1861	72	35	7863	3407	6757	40	52	8	54	124	28	97	71	12	440	11890	0	0	0	18	0	0	0	0	25	18	0	0	28	0	167331
p__Chordata;c__Mammalia;o__Carnivora;f__Felidae;g__Prionailurus;s__viverrinus	Host - Prionailurus viverrinus	508	121411	14078	142672	42024	4337	149570	8682	37125	148671	124150	166571	145113	65488	140036	202776	33723	43446	75161	258231	175434	130650	38940	148435	5079	2169	91621	118135	67306	160091	12890	5020	223319	64434	26325	236965	15714	4920	132996	18807	69156	190226	14249	37715	237302	3969	96311	36873	167479	161105	17931	129351	34339	1189	50082	74207	2316	14222	296661	8413	57481	144634	1090	18127	347271	87399	5901613
No Hit	No Hit	517	66	1050	762	183	3132	157	327	376	36	73	264	25263	117819	68555	804	4452	3533	68	459	1766	987	148	13362	10	844	21	31	88	77	2624	2637	219	6704	6688	162	21	8	164	209	1769	27	64	29	516	14	6	36	1537	4	10	26	0	33	12	1629	517	207	69554	484	5388	215742	159724	359229	470	184	1081360
p__Chordata;c__Mammalia;o__Primates;f__Hominidae	Artifact  - Primates	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	11	0	0	13	0	0	7	0	4	33424	0	6	0	0	21	0	0	21	0	0	0	0	0	5	0	0	0	0	0	0	0	0	33535
p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo	Artifact  - Primates	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__sapiens	Artifact  - Primates	25	0	58	8	0	8	0	487	7	0	0	0	0	0	6	0	2	2	0	176	105	0	0	0	0	0	0	0	1227	25	3134	63	59	1985	36	736	31	24	0	3	25	2	68785	43	0	333	0	0	30613	0	5	30000	0	8	9	0	9	5	347	0	0	999	2	0	0	0	139367
p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae	Artifact - Artiodactyla	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus	Artifact - Artiodactyla	14	0	30	5	0	110	0	50	8	0	22	5	0	40	9	0	4	5	0	145	13	0	8	3	0	15498	0	22	3	97	1116	12	324	2606	20	0	4	3	0	0	0	2	6	5	3	3955	0	0	2	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	24140
p__Chordata;c__Mammalia;o__Artiodactyla;f__Suidae;g__Sus;s__scrofa	Artifact - Artiodactyla	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
p__Chordata;c__Mammalia;o__Carnivora	Artifact (Carnivora)	9	192	113	155	129	255	6	16	34	10	91	274	0	14	46	43	18	28	491	9419	10274	14	25	155	0	2	4	33	16	8	2	3	8	3	0	10	0	0	1023	645	1723	7	10	2	6	0	0	355	0	0	5	0	3	3	0	6	0	3	0	0	0	0	0	0	0	0	25682
