Label	Color_code
Artifact  (Primates)	#7C064D
Artifact  (Primates) - Human	#7C064D
Artifact - Artiodactyla	#FF2DD1
Artifact - Chiroptera	#A2AF9B
Artifact - Rodent	#DEE791
Artifact (Carnivora)	#F65C78
Artifact (Carnivora) - Cuon alpinus	#F65C78
Artifact (Carnivora) - Lutra sp.	#F65C78
Artifact (Carnivora) - Martes sp.	#F65C78
Artifact (Carnivora) - Mustelidae	#F65C78
Artifact (Carnivora) - Paguma larvata	#F65C78
Artifact (Carnivora) - Panthera leo	#F65C78
Artifact (Carnivora) - Paradoxurus	#F65C78
Artifact (Carnivora) - Paradoxurus hermaphroditus	#F65C78
Artifact (Carnivora) - Prionailurus bengalensis	#F65C78
Artifact (Carnivora) - Prionailurus sp.	#F65C78
Artifact (Carnivora) - Viverra zibetha	#F65C78
Host - AC	#D90000
Host - LL	#D90000
Host - LP	#D90000
No Hit	#D2C4B4
Prey - Amphibia	#F4F754
Prey - Aves	#F4F754
Prey - Fish	#F4F754
Prey - Reptile	#F4F754
